id_ciudad,ciudad,latitud,longitud,geolabel
329,Tortuguitas,-34.475,-58.7556,Tortuguitas-Argentina
330,Trelew,-43.25,-65.3,Trelew-Argentina
331,Trenque Lauquen,-35.9667,-62.7,Trenque Lauquen-Argentina
332,Tres Arroyos,-38.3667,-60.2667,Tres Arroyos-Argentina
333,Tres Isletas,-26.35,-60.4167,Tres Isletas-Argentina
334,Tunuyan,-33.5667,-69.0167,Tunuyan-Argentina
335,Tupungato,-33.3715,-69.1484,Tupungato-Argentina
336,Ushuaia,-54.8019,-68.3031,Ushuaia-Argentina
337,Vedia,-34.4956,-61.5414,Vedia-Argentina
338,Veinticinco de Mayo,-35.4167,-60.1667,Veinticinco de Mayo-Argentina
339,Viedma,-40.8,-63,Viedma-Argentina
340,Villa Aberastain,-31.65,-68.5833,Villa Aberastain-Argentina
341,Villa Adelina,-34.5167,-58.5333,Villa Adelina-Argentina
342,Villa Alberdi,-27.5859,-65.6204,Villa Alberdi-Argentina
343,Villa Alsina,-34.6667,-58.4167,Villa Alsina-Argentina
344,Villa angela,-27.5833,-60.7167,Villa angela-Argentina
345,Villa Ballester,-34.5167,-58.5333,Villa Ballester-Argentina
346,Villa Berthet,-27.2667,-60.4167,Villa Berthet-Argentina
347,Villa Carlos Paz,-31.4,-64.5167,Villa Carlos Paz-Argentina
348,Villa Celina,-34.7167,-58.4833,Villa Celina-Argentina
349,Villa Constitucion,-33.2333,-60.3333,Villa Constitucion-Argentina
350,Villa Cura Brochero,-31.6667,-65.0167,Villa Cura Brochero-Argentina
351,Villa del Rosario,-31.5833,-63.5333,Villa del Rosario-Argentina
352,Villa del Totoral,-30.8167,-63.7167,Villa del Totoral-Argentina
353,Villa Dolores,-31.9333,-65.2,Villa Dolores-Argentina
354,Villa Dominico,-34.6917,-58.3333,Villa Dominico-Argentina
355,Villa Gesell,-37.25,-56.9833,Villa Gesell-Argentina
356,Villa Krause,-31.5833,-68.5333,Villa Krause-Argentina
357,Villa Luzuriaga,-34.6595,-58.5833,Villa Luzuriaga-Argentina
358,Villa Maria,-32.4103,-63.2314,Villa Maria-Argentina
359,Villa Media Agua,-31.9833,-68.4333,Villa Media Agua-Argentina
360,Villa Mercedes,-33.6667,-65.4667,Villa Mercedes-Argentina
361,Villa Regina,-39.1,-67.0667,Villa Regina-Argentina
362,Villa San Isidro,-31.4868,-68.3254,Villa San Isidro-Argentina
363,Villaguay,-31.85,-59.0167,Villaguay-Argentina
364,Virreyes,-34.45,-58.5333,Virreyes-Argentina
365,Wilde,-34.7,-58.3167,Wilde-Argentina
366,Yerba Buena,-26.8167,-65.3167,Yerba Buena-Argentina
367,Zapala,-38.9,-70.0667,Zapala-Argentina
368,Zarate,-34.0833,-59.0333,Zarate-Argentina
